30 15
0 0 11
0 0 11
13 2 0
13 2 0
13 2 0
13 2 0
13 2 0
13 2 0
13 2 0
13 2 0
13 2 0
13 2 0
13 2 0
13 2 0
0 0 11
0 0 11
13 2 0
13 8 4
13 8 4
13 8 4
13 8 4
13 8 4
13 8 4
13 8 4
13 8 4
13 8 4
13 8 4
13 8 4
13 2 0
0 0 11
0 0 11
13 2 0
13 8 3
13 7 0
13 7 0
13 7 0
13 7 0
13 7 0
13 7 0
13 7 0
13 7 0
13 7 0
13 7 0
13 8 5
13 2 0
13 2 0
13 8 3
0 9 1
0 9 1
0 9 1
0 9 1
0 9 1
0 9 1
0 9 1
13 7 0
13 7 0
13 7 0
13 7 0
13 2 0
0 0 11
13 2 0
13 8 7
0 9 7
0 9 0
0 9 0
0 9 0
0 9 0
0 9 0
0 9 0
0 9 0
13 8 2
13 8 1
13 7 0
13 8 5
13 2 0
13 2 0
13 7 0
0 9 0
0 9 4
0 9 4
0 9 4
0 9 4
0 9 4
0 9 0
0 9 0
13 1 0
13 8 1
13 7 0
13 2 0
0 0 11
13 2 0
13 8 7
0 9 7
0 9 4
0 9 4
0 9 4
0 9 4
0 9 4
0 9 4
0 9 0
13 4 0
13 1 0
13 8 1
13 8 5
13 2 0
13 2 0
13 7 0
0 9 4
0 9 4
0 9 4
0 9 4
0 9 4
0 9 4
0 9 4
13 4 0
13 1 0
13 1 0
13 7 0
13 2 0
0 0 11
13 2 0
13 8 7
0 9 7
0 9 4
0 9 4
0 9 4
0 9 4
0 9 4
0 9 4
13 4 0
13 1 0
13 4 2
13 8 3
13 8 5
13 2 0
13 2 0
13 7 0
0 9 4
0 9 4
0 9 4
0 9 4
0 9 4
0 9 4
13 4 0
13 1 0
13 4 2
0 9 5
13 7 0
13 2 0
0 0 11
13 2 0
13 8 7
0 9 7
0 9 4
0 9 4
0 9 4
0 9 4
0 9 4
13 4 0
13 1 0
13 4 2
0 9 5
0 9 0
13 8 5
13 2 0
13 2 0
13 7 0
0 9 4
0 9 4
0 9 4
0 9 4
0 9 4
13 4 0
13 1 0
13 4 2
0 9 5
0 9 0
13 7 0
13 2 0
0 0 11
13 2 0
13 8 7
0 9 7
0 9 4
0 9 4
0 9 4
0 9 4
13 4 0
13 1 0
13 4 2
0 9 5
0 9 0
0 9 0
13 8 5
13 2 0
13 2 0
13 7 0
0 9 4
0 9 4
0 9 4
0 9 4
13 4 0
13 1 0
13 4 2
0 9 5
0 9 4
0 9 0
13 7 0
13 2 0
0 0 11
13 2 0
13 8 7
0 9 7
0 9 4
0 9 4
0 9 4
13 4 0
13 1 0
13 4 2
0 9 5
0 9 4
0 9 4
0 9 0
13 8 5
13 2 0
13 2 0
13 7 0
0 9 4
0 9 4
0 9 4
13 4 0
13 1 0
13 4 2
0 9 5
0 9 4
0 9 4
0 9 0
13 7 0
13 2 0
0 0 11
13 2 0
13 8 7
0 9 7
0 9 4
0 9 4
13 4 0
13 1 0
13 4 2
0 9 5
0 9 4
0 9 0
0 9 4
0 9 0
13 8 5
13 2 0
13 2 0
13 7 0
0 9 4
0 9 4
13 4 0
13 1 0
13 4 2
0 9 1
0 9 4
0 9 4
0 9 4
0 9 0
13 7 0
13 2 0
0 0 11
13 2 0
13 8 7
0 9 7
0 9 4
13 4 0
13 1 0
13 4 2
0 9 1
0 9 0
0 9 4
0 9 4
0 9 4
0 9 0
13 8 5
13 2 0
13 2 0
13 7 0
0 9 6
13 4 0
13 1 0
13 4 2
0 9 1
0 9 0
0 9 4
0 9 4
0 9 4
0 9 0
13 7 0
13 2 0
0 0 11
13 2 0
13 8 7
13 8 2
13 4 0
13 1 0
13 4 2
0 9 1
0 9 4
0 9 4
0 9 4
0 9 4
0 9 4
0 9 0
13 8 5
13 2 0
13 2 0
13 7 0
13 1 0
13 1 0
13 4 2
0 9 5
0 9 0
0 9 4
0 9 4
0 9 4
0 9 4
0 9 0
13 7 0
13 2 0
0 0 11
13 2 0
13 8 7
13 8 0
13 1 0
13 4 2
0 9 5
0 9 0
0 9 4
0 9 4
0 9 4
0 9 4
0 9 0
0 9 0
13 8 5
13 2 0
13 2 0
13 7 0
13 8 0
13 1 0
0 9 7
0 9 0
0 9 0
0 9 4
0 9 4
0 9 4
0 9 0
0 9 0
13 7 0
13 2 0
0 0 11
13 2 0
13 8 7
13 7 0
13 8 0
13 8 3
0 9 6
0 9 0
0 9 0
0 9 0
0 9 0
0 9 0
0 9 0
0 9 0
13 8 5
13 2 0
13 2 0
13 7 0
13 7 0
13 7 0
13 7 0
0 9 6
0 9 6
0 9 6
0 9 6
0 9 6
0 9 6
0 9 6
13 8 2
13 2 0
0 0 11
13 2 0
13 8 7
13 7 0
13 7 0
13 7 0
13 7 0
13 7 0
13 7 0
13 7 0
13 7 0
13 7 0
13 7 0
13 8 2
13 2 0
0 0 11
13 2 0
13 8 6
13 8 6
13 8 6
13 8 6
13 8 6
13 8 6
13 8 6
13 8 6
13 8 6
13 8 6
13 8 6
13 2 0
0 0 11
0 0 11
0 0 11
13 2 0
13 2 0
13 2 0
13 2 0
13 2 0
13 2 0
13 2 0
13 2 0
13 2 0
13 2 0
13 2 0
13 2 0
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
