26 13
0 0 11
1 1 0
0 0 11
1 1 0
0 0 11
1 1 0
0 0 11
1 1 0
0 0 11
1 1 0
0 0 11
1 1 0
0 0 11
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
0 0 11
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
0 0 11
0 0 11
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 0 11
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
0 0 11
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
0 0 11
0 0 11
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 0 11
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
0 0 11
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
0 0 11
0 0 11
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 0 11
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
0 0 11
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
0 0 11
0 0 11
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 0 11
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
0 0 11
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
0 0 11
0 0 11
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 0 11
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
0 0 11
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
0 9 7
1 1 0
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
1 8 10
1 8 11
0 0 11
0 0 11
1 1 0
0 0 11
1 1 0
0 0 11
1 1 0
0 0 11
1 1 0
0 0 11
1 1 0
0 0 11
1 1 0
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
