30 20
5 3 1
5 3 1
5 3 1
5 3 1
5 3 1
5 3 1
5 3 1
5 3 1
5 3 1
5 3 1
5 3 1
5 3 1
5 3 1
6 3 3
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 6
0 0 4
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
5 3 3
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
6 3 3
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 6
0 0 4
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
5 3 3
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
6 3 3
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 6
0 0 4
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
5 3 3
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
6 3 3
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 6
0 0 4
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
5 3 3
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
6 3 3
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 0
5 3 6
0 0 4
0 0 0
0 0 0
0 0 0
