30 20
0 0 11
0 0 11
0 0 11
0 6 0
0 7 7
0 7 7
6 6 0
6 6 0
6 6 0
6 6 0
6 6 0
6 6 0
6 6 0
6 6 0
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 6 4
0 6 0
0 6 8
6 6 4
6 6 9
6 6 9
6 6 9
6 6 9
6 6 9
6 6 9
6 6 9
3 1 1
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 6 4
1 7 7
0 1 1
6 6 4
3 1 1
3 1 1
3 1 1
3 1 1
3 1 1
3 1 1
3 1 1
3 1 1
0 0 1
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 6 4
0 7 7
1 7 7
6 6 4
3 1 1
3 1 0
3 1 0
3 1 0
3 1 0
3 1 0
3 1 0
3 1 0
0 0 1
0 0 0
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 6 4
1 7 7
1 7 7
6 6 4
3 1 1
0 0 0
0 0 0
0 0 0
0 0 0
0 0 1
0 0 1
0 0 1
0 0 1
0 0 0
0 0 0
0 0 11
0 0 11
0 0 11
0 0 11
0 6 4
0 7 7
0 1 1
6 6 4
3 1 1
0 0 1
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 11
0 0 11
0 0 11
0 0 11
0 6 4
1 7 7
1 7 7
6 6 4
3 1 1
0 0 1
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 11
0 0 11
0 0 11
0 7 7
1 7 7
6 6 4
3 1 1
0 0 1
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 11
0 0 11
0 0 11
0 7 7
1 7 7
6 6 4
3 1 1
0 0 1
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 11
0 0 11
0 1 1
6 6 4
3 1 1
0 0 1
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 11
0 0 11
0 1 4
6 6 4
3 1 4
0 0 4
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 11
6 6 4
4 1 4
2 1 4
0 0 7
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 11
6 6 2
5 1 4
3 1 4
1 1 4
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
6 6 8
4 1 4
2 1 4
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
6 6 2
5 1 4
3 1 4
1 1 4
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
6 6 8
4 1 4
2 1 4
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
6 6 2
5 1 4
3 1 4
1 1 4
0 0 1
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
6 6 5
4 1 4
2 1 4
0 0 1
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 11
1 7 7
6 6 5
3 1 4
0 0 4
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 11
1 7 7
6 6 5
3 1 7
0 0 7
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 11
0 0 11
0 7 7
1 7 7
6 6 5
3 1 7
0 0 7
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 11
0 0 11
0 7 7
1 7 7
6 6 5
3 1 7
0 0 7
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 11
0 0 11
0 0 11
0 6 5
0 7 7
1 7 7
6 6 5
3 1 7
0 0 7
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 11
0 0 11
0 0 11
0 6 5
0 7 7
1 7 7
6 6 5
3 1 7
0 0 7
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 6 5
1 6 0
1 7 7
6 6 5
3 1 7
0 0 7
0 0 7
0 0 7
0 0 7
0 0 7
0 0 7
0 0 7
0 0 7
0 0 0
0 0 0
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 6 5
1 6 0
1 7 7
6 6 5
3 1 7
3 1 0
3 1 0
3 1 0
3 1 0
3 1 0
3 1 0
3 1 0
0 0 7
0 0 0
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 8 6
1 8 6
1 7 7
6 6 5
3 1 7
3 1 7
3 1 7
3 1 7
3 1 7
3 1 7
3 1 7
3 1 7
0 0 7
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 8 6
1 8 4
2 8 4
6 6 5
6 6 10
6 6 10
6 6 10
6 6 10
6 6 10
6 6 10
6 6 10
3 1 7
0 0 11
