30 20
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 1 1
0 1 1
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 1 4
0 1 0
0 1 0
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
1 1 4
0 1 7
0 1 0
0 1 0
0 1 1
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
2 1 4
1 1 7
0 1 7
0 1 0
0 1 0
0 1 0
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 1 7
3 1 4
2 1 7
1 1 7
0 1 7
0 1 0
0 1 0
0 1 0
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
4 1 4
3 1 7
2 1 7
1 1 7
0 1 2
0 1 0
0 1 0
0 1 0
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
5 1 3
4 1 7
3 1 7
2 1 7
0 9 5
0 1 2
0 1 0
0 1 0
0 1 0
0 1 1
0 0 11
0 0 11
0 0 11
0 0 11
0 6 0
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
5 1 7
4 1 7
3 1 7
0 9 5
0 9 0
0 1 2
0 1 0
0 1 0
0 1 0
0 1 0
0 0 11
0 0 11
0 0 11
0 6 4
0 6 7
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
6 1 3
5 1 7
4 1 7
0 9 5
0 9 0
0 9 0
0 1 7
0 1 0
0 1 0
0 1 0
0 1 0
0 0 11
0 0 11
0 6 4
0 1 0
0 6 7
0 0 11
0 0 11
0 0 11
0 0 11
6 1 0
5 1 7
0 9 7
0 9 0
0 9 4
2 1 1
0 1 7
0 1 0
0 1 0
0 1 0
0 1 0
0 0 11
0 6 4
0 1 0
0 1 0
0 6 7
0 0 11
0 0 11
0 0 11
0 0 11
7 1 3
7 8 6
6 1 4
0 9 6
0 9 4
2 1 1
1 1 1
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 6 4
0 1 0
0 1 0
0 1 0
0 6 7
0 0 11
0 0 11
0 0 11
7 8 8
7 8 8
6 1 7
0 9 6
2 1 1
1 1 1
0 1 1
0 1 0
0 1 0
0 1 0
0 1 0
0 6 2
0 1 0
0 1 0
0 1 0
0 1 0
0 6 7
0 0 11
0 0 11
0 0 11
7 8 5
7 2 0
7 8 7
6 1 0
2 1 3
1 1 4
0 1 4
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 6 8
0 1 0
0 1 0
0 1 0
0 1 0
0 6 3
0 0 11
0 0 11
7 8 8
7 8 8
6 1 1
0 9 1
2 1 2
1 1 7
0 1 7
0 1 0
0 1 0
0 1 0
0 1 0
0 6 2
0 1 0
0 1 0
0 1 0
0 1 0
0 6 6
0 0 11
0 0 11
0 0 11
7 1 3
7 8 4
6 1 3
0 9 1
0 9 4
2 1 2
1 1 7
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 6 5
0 1 0
0 1 0
0 1 0
0 6 6
0 0 11
0 0 11
0 0 11
6 1 1
5 1 1
0 9 7
0 9 4
0 9 4
2 1 2
0 1 1
0 1 0
0 1 0
0 1 0
0 1 0
0 0 11
0 6 5
0 1 0
0 1 0
0 6 6
0 0 11
0 0 11
0 0 11
0 0 11
6 1 3
5 1 1
4 1 1
0 9 2
0 9 4
0 9 4
0 1 1
0 1 0
0 1 0
0 1 0
0 1 0
0 0 11
0 0 11
0 6 5
0 1 0
0 6 6
0 0 11
0 0 11
0 0 11
0 0 11
5 1 1
4 1 1
3 1 1
0 9 2
0 9 4
0 1 1
0 1 0
0 1 0
0 1 0
0 1 0
0 0 11
0 0 11
0 0 11
0 6 5
0 6 6
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
5 1 3
4 1 1
3 1 1
2 1 1
0 9 2
0 1 1
0 1 0
0 1 0
0 1 0
0 1 2
0 0 11
0 0 11
0 0 11
0 0 11
0 6 1
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
4 1 3
3 1 1
2 1 1
1 1 1
0 1 1
0 1 0
0 1 0
0 1 0
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 1 1
3 1 3
2 1 1
1 1 1
0 1 1
0 1 0
0 1 0
0 1 0
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
2 1 3
1 1 1
0 1 1
0 1 0
0 1 0
0 1 2
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
1 1 3
0 1 1
0 1 0
0 1 0
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 1 3
0 1 0
0 1 0
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 1 2
0 1 2
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
