20 9
0 9 11
0 9 11
0 9 11
0 9 11
0 9 11
0 9 11
0 9 11
0 9 11
0 9 11
1 3 1
0 9 6
1 3 3
1 3 1
1 3 3
1 3 1
0 9 5
0 9 11
0 9 11
1 3 3
1 3 0
0 9 6
1 3 2
0 9 5
1 3 2
0 9 5
1 3 1
0 9 11
1 3 2
1 3 0
0 9 6
0 9 5
0 9 6
0 9 5
1 3 1
1 3 0
0 9 11
0 9 6
1 3 2
1 3 0
0 9 0
1 3 1
0 9 6
1 3 3
1 3 0
0 9 5
0 9 6
1 3 2
0 9 5
1 3 1
1 3 0
0 9 6
1 3 2
0 9 5
0 9 11
1 3 3
0 9 6
0 9 5
1 3 1
1 3 0
1 3 0
0 9 6
0 9 5
1 3 1
1 3 0
0 9 0
1 3 1
1 3 0
1 3 2
1 3 0
0 9 6
1 3 3
0 9 11
1 3 3
0 9 5
1 3 1
1 3 0
0 9 1
1 3 2
1 3 0
0 9 6
1 3 0
0 9 7
1 3 3
1 3 0
0 9 1
0 9 2
1 3 2
1 3 0
0 9 0
0 9 11
1 3 3
0 9 0
1 3 0
0 9 3
1 3 3
0 9 0
1 3 0
0 9 7
1 3 3
0 9 7
1 3 3
1 3 0
0 9 2
0 9 1
1 3 1
1 3 0
0 9 0
0 9 11
1 3 3
0 9 6
1 3 2
1 3 0
0 9 2
1 3 1
1 3 0
0 9 5
1 3 1
1 3 0
0 9 0
1 3 2
1 3 0
1 3 1
1 3 0
0 9 5
1 3 3
0 9 11
1 3 3
0 9 5
0 9 6
1 3 2
1 3 0
1 3 0
0 9 5
0 9 6
1 3 2
0 9 5
1 3 1
0 9 6
1 3 2
1 3 0
0 9 5
1 3 1
0 9 6
0 9 11
0 9 5
1 3 1
1 3 0
0 9 0
1 3 2
0 9 5
1 3 3
1 3 0
0 9 6
1 3 3
1 3 0
0 9 5
0 9 6
0 9 5
0 9 6
1 3 2
1 3 0
0 9 11
0 9 11
1 3 2
0 9 5
1 3 1
0 9 6
1 3 1
0 9 6
1 3 2
0 9 11
0 9 11
0 9 5
1 3 3
1 3 0
1 3 3
1 3 0
0 9 6
0 9 11
0 9 11
